"";"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
"270";1297;"V1251";"$CHAR1.";"";1;0;1297;"c";TRUE
"271";1298;"V1252";"12.";"";12;0;1309;"d";FALSE
"272";1310;"V1253";"$CHAR1.";"";1;0;1310;"c";TRUE
"273";1311;"V1254";"$CHAR1.";"";1;0;1311;"c";TRUE
"274";1312;"V1255";"12.";"";12;0;1323;"d";FALSE
"275";1324;"V1256";"$CHAR1.";"";1;0;1324;"c";TRUE
"276";1325;"V1257";"$CHAR1.";"";1;0;1325;"c";TRUE
"277";1326;"V1258";"12.";"";12;0;1337;"d";FALSE
"278";1338;"V1259";"$CHAR1.";"";1;0;1338;"c";TRUE
"279";1339;"V1260";"$CHAR1.";"";1;0;1339;"c";TRUE
"280";1340;"V1261";"12.";"";12;0;1351;"d";FALSE
"281";1352;"V1262";"$CHAR1.";"";1;0;1352;"c";TRUE
"282";1353;"V1263";"$CHAR1.";"";1;0;1353;"c";TRUE
"283";1354;"V1264";"12.";"";12;0;1365;"d";FALSE
"284";1366;"V1265";"$CHAR1.";"";1;0;1366;"c";TRUE
"285";1367;"V1266";"$CHAR1.";"";1;0;1367;"c";TRUE
"286";1368;"V1267";"12.";"";12;0;1379;"d";FALSE
"287";1380;"V1268";"$CHAR1.";"";1;0;1380;"c";TRUE
"288";1381;"V1269";"$CHAR1.";"";1;0;1381;"c";TRUE
"289";1382;"V1270";"12.";"";12;0;1393;"d";FALSE
"290";1394;"V1271";"$CHAR1.";"";1;0;1394;"c";TRUE
"291";1395;"V1272";"$CHAR1.";"";1;0;1395;"c";TRUE
"292";1396;"V1273";"12.";"";12;0;1407;"d";FALSE
"293";1408;"V1274";"$CHAR1.";"";1;0;1408;"c";TRUE
"294";1409;"V1275";"$CHAR1.";"";1;0;1409;"c";TRUE
"295";1410;"V1001";"$CHAR1.";"";1;0;1410;"c";TRUE
"296";1411;"V1002";"$CHAR1.";"";1;0;1411;"c";TRUE
"297";1412;"V1003";"$CHAR1.";"";1;0;1412;"c";TRUE
"298";1413;"V1004";"$CHAR1.";"";1;0;1413;"c";TRUE
"299";1414;"V1101";"$CHAR1.";"";1;0;1414;"c";TRUE
"300";1415;"V1141";"2.";"";2;0;1416;"i";FALSE
"301";1417;"V1142";"2.";"";2;0;1418;"i";FALSE
"302";1419;"V1151";"2.";"";2;0;1420;"i";FALSE
"303";1421;"V1152";"2.";"";2;0;1422;"i";FALSE
"304";1423;"V1153";"$CHAR1.";"";1;0;1423;"c";TRUE
"305";1424;"V1154";"$CHAR1.";"";1;0;1424;"c";TRUE
"306";1425;"V1161";"2.";"";2;0;1426;"i";FALSE
"307";1427;"V1162";"2.";"";2;0;1428;"i";FALSE
"308";1429;"V1163";"$CHAR1.";"";1;0;1429;"c";TRUE
"309";1430;"V1164";"$CHAR1.";"";1;0;1430;"c";TRUE
"310";1431;"V1107";"$CHAR1.";"";1;0;1431;"c";TRUE
"311";1432;"V1181";"$CHAR2.";"";2;0;1433;"c";TRUE
"312";1434;"V1182";"$CHAR3.";"";3;0;1436;"c";TRUE
"313";1437;"V1109";"$CHAR1.";"";1;0;1437;"c";TRUE
"314";1438;"V1110";"$CHAR1.";"";1;0;1438;"c";TRUE
"315";1439;"V1111";"2.";"";2;0;1440;"i";FALSE
"316";1441;"V1112";"2.";"";2;0;1442;"i";FALSE
"317";1443;"V1113";"$CHAR1.";"";1;0;1443;"c";TRUE
"318";1444;"V1114";"$CHAR1.";"";1;0;1444;"c";TRUE
"319";1445;"V4701";"$CHAR2.";"";2;0;1446;"c";TRUE
"320";1447;"V4702";"$CHAR1.";"";1;0;1447;"c";TRUE
"321";1448;"V4703";"$CHAR2.";"";2;0;1449;"c";TRUE
"322";1450;"V4704";"$CHAR1.";"";1;0;1450;"c";TRUE
"323";1451;"V4705";"$CHAR1.";"";1;0;1451;"c";TRUE
"324";1452;"V4706";"$CHAR2.";"";2;0;1453;"c";TRUE
"325";1454;"V4707";"$CHAR1.";"";1;0;1454;"c";TRUE
"326";1455;"V4708";"$CHAR1.";"";1;0;1455;"c";TRUE
"327";1456;"V4709";"$CHAR2.";"";2;0;1457;"c";TRUE
"328";1458;"V4710";"$CHAR1.";"";1;0;1458;"c";TRUE
"329";1459;"V4711";"$CHAR1.";"";1;0;1459;"c";TRUE
"330";1460;"V4712";"$CHAR1.";"";1;0;1460;"c";TRUE
"331";1461;"V4713";"$CHAR1.";"";1;0;1461;"c";TRUE
"332";1462;"V4714";"$CHAR1.";"";1;0;1462;"c";TRUE
"333";1463;"V4715";"$CHAR2.";"";2;0;1464;"c";TRUE
"334";1465;"V4716";"$CHAR2.";"";2;0;1466;"c";TRUE
"335";1467;"V4717";"$CHAR1.";"";1;0;1467;"c";TRUE
"336";1468;"V4718";"12.";"";12;0;1479;"d";FALSE
"337";1480;"V4719";"12.";"";12;0;1491;"d";FALSE
"338";1492;"V4720";"12.";"";12;0;1503;"d";FALSE
"339";1504;"V4721";"12.";"";12;0;1515;"d";FALSE
"340";1516;"V4722";"12.";"";12;0;1527;"d";FALSE
"341";1528;"V4723";"$CHAR2.";"";2;0;1529;"c";TRUE
"342";1530;"V4724";"2.";"";2;0;1531;"i";FALSE
"343";1532;"V4725";"2.";"";2;0;1533;"i";FALSE
"344";1534;"V4726";"12.";"";12;0;1545;"d";FALSE
"345";1546;"V4727";"$CHAR1.";"";1;0;1546;"c";TRUE
"346";1547;"V4728";"$CHAR1.";"";1;0;1547;"c";TRUE
"347";1548;"V4729";"5.";"";5;0;1552;"i";FALSE
