var_name;int_pos;fin_pos;length;x;label;decimal_places;col_type;CHAR
V40121;136;136;1;$1.;/* Tipo trabalhador não remunerado */         ;0;c;TRUE
V4013;137;141;5;$5.;/* Atividade no trab. principal */         ;0;c;TRUE
V40132A;142;142;1;$1.;/* Seção da atividade */          ;0;c;TRUE
V4014;143;143;1;$1.;/* Esse trabalho era na área */        ;0;c;TRUE
V4015;144;144;1;$1.;/* Teve ajuda nesse trabalho de trab não remunerado */;0;c;TRUE
V40151;145;145;1;$1.;/* Quantos trabs não remunerados */;0;c;TRUE
V401511;146;146;1;$1.;/* 1 a 5 trab n remunerados */;0;c;TRUE
V401512;147;148;2;$2.;/* 6 a 10 trab n remunerados */;0;c;TRUE
V4016;149;149;1;$1.;/* qts empregados trabalhavam nesse negocio */;0;c;TRUE
V40161;150;150;1;$1.;/* 1 a 5 */;0;c;TRUE
V40162;151;152;2;$2.;/* 06 a 10 */;0;c;TRUE
V40163;153;154;2;$2.;/* 11 a 50 */;0;c;TRUE
V4017;155;155;1;$1.;/* tinha pelo menos um sócio que trabalhava nesse negocio */;0;c;TRUE
V40171;156;156;1;$1.;/* quantos? */;0;c;TRUE
V401711;157;157;1;$1.;/* 1 a 5 */;0;c;TRUE
V4018;158;158;1;$1.;/* qts pessoas trabalhavam nesse negocio */;0;c;TRUE
V40181;159;159;1;$1.;/* 1 a 5 */;0;c;TRUE
V40182;160;161;2;$2.;/* 6 a 10 */;0;c;TRUE
V40183;162;163;2;$2.;/* 11 a 50 */;0;c;TRUE
V4019;164;164;1;$1.;/* Negócio/empresa registrado no CNPJ*/          ;0;c;TRUE
V4020;165;165;1;$1.;/* tipo de local funcionava essa empresa */;0;c;TRUE
V4021;166;166;1;$1.;/* exercia normalmente o trabalho em estabelecimento dessa empresa */;0;c;TRUE
V4022;167;167;1;$1.;/* então onde .. exercia normalmente esse trabalho */;0;c;TRUE
V4024;168;168;1;$1.;/* Serv. domést. em mais de 1 domic. */      ;0;c;TRUE
V4025;169;169;1;$1.;/* Contratado como empreg. temporário*/          ;0;c;TRUE
V4026;170;170;1;$1.;/* Era contratado somente por pessoa responsável pelo negócio */     ;0;c;TRUE
V4027;171;171;1;$1.;/* Era contratado somente por intermediário */        ;0;c;TRUE
V4028;172;172;1;$1.;/* Servidor público estatutário */          ;0;c;TRUE
V4029;173;173;1;$1.;/* Carteira de trabalho assinada */         ;0;c;TRUE
V4032;174;174;1;$1.;/* Contribuinte de instit. d previd. */        ;0;c;TRUE
V4033;175;175;1;$1.;/* Rendimento habitual var. auxil. */         ;0;c;TRUE
V40331;176;176;1;$1.;/* Rendimento habitual em dinheiro */         ;0;c;TRUE
V403311;177;177;1;$1.;/* Faixa do valor do rendimento hab. */       ;0;c;TRUE
V403312;178;185;8;8.;/* Valor do rend. hab. em dinheiro */       ;0;i;FALSE
V40332;186;186;1;$1.;/* Rendimento habitual em produtos */         ;0;c;TRUE
V403321;187;187;1;$1.;/* Faixa do valor do rendimento hab. */       ;0;c;TRUE
V403322;188;195;8;8.;/* Valor do rend. hab. em produtos */       ;0;i;FALSE
V40333;196;196;1;$1.;/* Rendimento habitual em benefícios */         ;0;c;TRUE
V403331;197;197;1;$1.;/* Tipo rend. habitual em benefícios */        ;0;c;TRUE
V4034;198;198;1;$1.;/* Rendimento efetivo var. auxil. */         ;0;c;TRUE
V40341;199;199;1;$1.;/* Rendimento efetivo em dinheiro */         ;0;c;TRUE
V403411;200;200;1;$1.;/* Faixa do valor do rendimento efe. */       ;0;c;TRUE
V403412;201;208;8;8.;/* Valor do rend. efe. em dinheiro */       ;0;i;FALSE
V40342;209;209;1;$1.;/* Rendimento efetivo em produtos */         ;0;c;TRUE
V403421;210;210;1;$1.;/* Faixa do valor do rendimento efe. */       ;0;c;TRUE
V403422;211;218;8;8.;/* Valor do rend. efe. em produtos */       ;0;i;FALSE
V4039;219;221;3;3.;/* Hrs habituais no trab. princ. */        ;0;i;FALSE
V4039C;222;224;3;3.;/* Hrs efetivas no trab. princ. */        ;0;i;FALSE
V4040;225;225;1;$1.;/* Tempo que estava nesse trabalho */        ;0;c;TRUE
V40401;226;227;2;2.;/* De 1 mês a menos de 1 ano */     ;0;i;FALSE
V40402;228;229;2;2.;/* De 1 ano a menos de 2 anos */     ;0;i;FALSE
V40403;230;231;2;2.;/* De 2 anos ou mais tempo */       ;0;i;FALSE
V4041;232;235;4;$4.;/* Ocupação no trab. secundário */         ;0;c;TRUE
V4043;236;236;1;$1.;/* Posição na ocupação */          ;0;c;TRUE
V40431;237;237;1;$1.;/* Tipo trabalhador não remunerado */         ;0;c;TRUE
V4044;238;242;5;$5.;/* Atividade no trab. secundário */         ;0;c;TRUE
V4045;243;243;1;$1.;/* Esse trabalho era na área */        ;0;c;TRUE
V4046;244;244;1;$1.;/* Negócio/empresa registrado no CNPJ*/          ;0;c;TRUE
V4047;245;245;1;$1.;/* Servidor público estatutário */          ;0;c;TRUE
V4048;246;246;1;$1.;/* Carteira de trabalho assinada */         ;0;c;TRUE
V4049;247;247;1;$1.;/* Contribuinte de instit. d previd. */        ;0;c;TRUE
V4050;248;248;1;$1.;/* Rendimento habitual var. auxil. */         ;0;c;TRUE
V40501;249;249;1;$1.;/* Rendimento habitual em dinheiro */         ;0;c;TRUE
V405011;250;250;1;$1.;/* Faixa do valor do rendimento hab. */       ;0;c;TRUE
V405012;251;258;8;8.;/* Valor do rend. hab. em dinheiro */       ;0;i;FALSE
V40502;259;259;1;$1.;/* Rendimento habitual em produtos */         ;0;c;TRUE
V405021;260;260;1;$1.;/* Faixa do valor do rendimento hab. */       ;0;c;TRUE
V405022;261;268;8;8.;/* Valor do rend. hab. em produtos */       ;0;i;FALSE
V40503;269;269;1;$1.;/* Rendimento habitual em benefícios */         ;0;c;TRUE
V405031;270;270;1;$1.;/* Tipo rend. habitual em benefícios */        ;0;c;TRUE
V4051;271;271;1;$1.;/* Rendimento efetivo var. auxil. */         ;0;c;TRUE
V40511;272;272;1;$1.;/* Rendimento efetivo em dinheiro */         ;0;c;TRUE
V405111;273;273;1;$1.;/* Faixa do valor do rendimento efe. */       ;0;c;TRUE
V405112;274;281;8;8.;/* Valor do rend. efe. em dinheiro */       ;0;i;FALSE
V40512;282;282;1;$1.;/* Rendimento efetivo em produtos */         ;0;c;TRUE
V405121;283;283;1;$1.;/* Faixa do valor do rendimento efe. */       ;0;c;TRUE
V405122;284;291;8;8.;/* Valor do rend. efe. em produtos */       ;0;i;FALSE
V4056;292;294;3;3.;/* Hrs habituais no trab. secun. */        ;0;i;FALSE
V4056C;295;297;3;3.;/* Hrs efetivas no trab. secun. */        ;0;i;FALSE
V4057;298;298;1;$1.;/* Contribuinte de instit. d previd. */        ;0;c;TRUE
V4058;299;299;1;$1.;/* Rendimento habitual var. auxil. */         ;0;c;TRUE
V40581;300;300;1;$1.;/* Rendimento habitual em dinheiro */         ;0;c;TRUE
V405811;301;301;1;$1.;/* Faixa do valor do rendimento hab. */       ;0;c;TRUE
V405812;302;309;8;8.;/* Valor do rend. hab. em dinheiro */       ;0;i;FALSE
V40582;310;310;1;$1.;/* Rendimento habitual em produtos */         ;0;c;TRUE
V405821;311;311;1;$1.;/* Faixa do valor do rendimento hab. */       ;0;c;TRUE
V405822;312;319;8;8.;/* Valor do rend. hab. em produtos */       ;0;i;FALSE
V40583;320;320;1;$1.;/* Rendimento habitual em benefícios */         ;0;c;TRUE
V405831;321;321;1;$1.;/* Tipo rend. habitual em benefícios */        ;0;c;TRUE
V40584;322;322;1;$1.;/* Não remunerado */           ;0;c;TRUE
V4059;323;323;1;$1.;/* Rendimento efetivo var. auxil. */         ;0;c;TRUE
V40591;324;324;1;$1.;/* Rendimento efetivo em dinheiro */         ;0;c;TRUE
V405911;325;325;1;$1.;/* Faixa do valor do rendimento efe. */       ;0;c;TRUE
V405912;326;333;8;8.;/* Valor do rend. efe. em dinheiro */       ;0;i;FALSE
V40592;334;334;1;$1.;/* Rendimento efetivo em produtos */         ;0;c;TRUE
V405921;335;335;1;$1.;/* Faixa do valor do rendimento efe. */       ;0;c;TRUE
V405922;336;343;8;8.;/* Valor do rend. efe. em produtos */       ;0;i;FALSE
V4062;344;346;3;3.;/* Hrs habituais no(s) outro(s) trab.*/         ;0;i;FALSE
V4062C;347;349;3;3.;/* Hrs efetivas no(s) outro(s) trab .*/        ;0;i;FALSE
V4063A;350;350;1;$1.;/* Gostaria trabalhar + hrs habituais*/         ;0;c;TRUE
V4064A;351;351;1;$1.;/* Dispon. trabalhar + hrs habituais */        ;0;c;TRUE
V4071;352;352;1;$1.;/* Providência p/ conseg. trab.(30d) */         ;0;c;TRUE
V4072A;353;353;1;$1.;/* Principal provid. p/conseg. trab. */         ;0;c;TRUE
V4073;354;354;1;$1.;/* Gostaria de ter trabalhado */         ;0;c;TRUE
V4074A;355;356;2;$2.;/* Motivo de não ter tomado provid. */       ;0;c;TRUE
V4075A;357;357;1;$1.;/* Tempo em que irá começar o trab. */      ;0;c;TRUE
V4075A1;358;359;2;$2.;/* Meses em que irá começar o trab. */      ;0;c;TRUE
V4076;360;360;1;$1.;/* Tempo tentando conseguir trabalho */         ;0;c;TRUE
V40761;361;362;2;2.;/* Tempo tentando trab. 1 mes-1 ano */       ;0;i;FALSE
V40762;363;364;2;2.;/* Tempo tentando trab. 1 ano-2 anos */       ;0;i;FALSE
V40763;365;366;2;2.;/* Tempo tentando trab. + de 2 anos */      ;0;i;FALSE
V4077;367;367;1;$1.;/* Poderia ter começado a trabalhar */        ;0;c;TRUE
V4078A;368;368;1;$1.;/* Motivo p /ñ querer/começar a trab. */       ;0;c;TRUE
V4082;369;369;1;$1.;/* Trab por pelo menos 1 hora em 1 ano*/     ;0;c;TRUE
V4099;370;370;1;$1.;/* Exerceu ativ. Caça, pesca, etc prop. cons. */      ;0;c;TRUE
V4100;371;373;3;3.;/* Hrs. Dest. p/ ativ. */         ;0;i;FALSE
V4101;374;378;5;$5.;/* Atividade */            ;0;c;TRUE
V4102;379;379;1;$1.;/* Exerceu Ativ. Corte ou coleta lenha, etc prop. cons. */    ;0;c;TRUE
V4103;380;382;3;3.;/* Hrs. Dest. p/ ativ. */         ;0;i;FALSE
V4104;383;387;5;$5.;/* Atividade */            ;0;c;TRUE
V4105;388;388;1;$1.;/* Exerceu Ativ. Fabric. Roupas, tricô, etc prop. Cons. */     ;0;c;TRUE
V4106;389;391;3;3.;/* Hrs. Dest. p/ ativ. */         ;0;i;FALSE
V4107;392;396;5;$5.;/* Atividade */            ;0;c;TRUE
V4108;397;397;1;$1.;/* Exerceu Ativ. Construc. De casa, etc prop. Cons. */     ;0;c;TRUE
V4109;398;400;3;3.;/* Hrs. Dest. p/ ativ. */         ;0;i;FALSE
V4110;401;405;5;$5.;/* Atividade */            ;0;c;TRUE
V4111;406;406;1;$1.;/* Trab volunt. pelo menos 1 hr. sem remun/ */     ;0;c;TRUE
V41111;407;407;1;$1.;/* Trab volunt. pelo menos 1 hr. sem remun/: congreg. Relig., sindicato, condim., etc */;0;c;TRUE
V41112;408;408;1;$1.;/* Trab volunt. pelo menos 1 hr. sem remun/: ONG, assis. Morad, etc. */ ;0;c;TRUE
V41113;409;409;1;$1.;/* Trab volunt. pelo menos 1 hr. sem remun/: morad. Tarefas domesticas */  ;0;c;TRUE
V41114;410;410;1;$1.;/* Trab volunt. pelo menos 1 hr. sem remun/: meio amb. */   ;0;c;TRUE
V41115;411;411;1;$1.;/* Trab volunt. pelo menos 1 hr. sem remun/: ñ morad. Tarefas domesticas */ ;0;c;TRUE
V41116;412;412;1;$1.;/* Trab volunt. pelo menos 1 hr. sem remun/: ñ morad. Serv. Prof. */ ;0;c;TRUE
V41117;413;413;1;$1.;/* Trab volunt. pelo menos 1 hr. sem remun/: outro trab. Volunt. */  ;0;c;TRUE
V4111A;414;414;1;$1.;/* Freq. Trab. Volunt. */          ;0;c;TRUE
V4112;415;417;3;3.;/* Hrs. Trab. Voluntário s/ remun. */        ;0;i;FALSE
V4113;418;421;4;$4.;/* Tarefa */            ;0;c;TRUE
V4114;422;422;1;$1.;/* Trab p/ empresa, organ. Ou institut. */       ;0;c;TRUE
V4115;423;427;5;$5.;/* Atividade */            ;0;c;TRUE
V4117A;428;428;1;$1.;/* Cuidou de parentes que moradores */        ;0;c;TRUE
V4117A1;429;429;1;$1.;/* Cuidou de parentes que moradores: pessoais */       ;0;c;TRUE
V4117A2;430;430;1;$1.;/* Cuidou de parentes que moradores: educacional */       ;0;c;TRUE
V4117A3;431;431;1;$1.;/* Cuidou de parentes que moradores: entreter */       ;0;c;TRUE
V4117A4;432;432;1;$1.;/* Cuidou de parentes que moradores: monitorar */       ;0;c;TRUE
V4117A5;433;433;1;$1.;/* Cuidou de parentes que moradores:locomoção */        ;0;c;TRUE
V4117A6;434;434;1;$1.;/* Cuidou de parentes que moradores */        ;0;c;TRUE
V4119;435;435;1;$1.;/* Cuidou de parentes que não moradores */       ;0;c;TRUE
V4120;436;436;1;$1.;/* Fez tar. domésticas para o próprio dom. */      ;0;c;TRUE
V41201;437;437;1;$1.;/* Fez tar. domésticas para o próprio dom.: Cozinha */     ;0;c;TRUE
V41202;438;438;1;$1.;/* Fez tar. domésticas para o próprio dom.: vestuário */     ;0;c;TRUE
V41203;439;439;1;$1.;/* Fez tar. domésticas para o próprio dom.: manutenção */     ;0;c;TRUE
V41204;440;440;1;$1.;/* Fez tar. domésticas para o próprio dom.: limpeza */     ;0;c;TRUE
V41205;441;441;1;$1.;/* Fez tar. domésticas para o próprio dom.: organização */     ;0;c;TRUE
V41206;442;442;1;$1.;/* Fez tar. domésticas para o próprio dom.: compras */     ;0;c;TRUE
V41207;443;443;1;$1.;/* Fez tar. domésticas para o próprio dom.: animais */     ;0;c;TRUE
V41208;444;444;1;$1.;/* Fez tar. domésticas para o próprio dom.: outras tarefas */    ;0;c;TRUE
V4121A;445;445;1;$1.;/* Fez tarefa doméstica em dom. de parente */      ;0;c;TRUE
V4121B;446;448;3;3.;/* Hrs de ativi. de cuidados de pessoas / afazeres domésticos */   ;0;i;FALSE
VD2002;449;450;2;$2.;;0;c;TRUE
VD2003;451;452;2;$2.;;0;c;TRUE
VD2004;453;453;1;$1.;;0;c;TRUE
VD3004;454;454;1;$1.;;0;c;TRUE
VD3005;455;456;2;$2.;;0;c;TRUE
VD3006;457;457;1;$1.;;0;c;TRUE
VD4001;458;458;1;$1.;;0;c;TRUE
VD4002;459;459;1;$1.;;0;c;TRUE
VD4003;460;460;1;$1.;;0;c;TRUE
VD4004A;461;461;1;$1.;;0;c;TRUE
VD4005;462;462;1;$1.;;0;c;TRUE
VD4007;463;463;1;$1.;;0;c;TRUE
VD4008;464;464;1;$1.;;0;c;TRUE
VD4009;465;466;2;$2.;;0;c;TRUE
VD4010;467;468;2;$2.;;0;c;TRUE
VD4011;469;470;2;$2.;;0;c;TRUE
VD4012;471;471;1;$1.;;0;c;TRUE
VD4013;472;472;1;$1.;;0;c;TRUE
VD4014;473;473;1;$1.;;0;c;TRUE
VD4015;474;474;1;$1.;;0;c;TRUE
VD4016;475;482;8;8.;;0;i;FALSE
VD4017;483;491;8;8.;;0;i;FALSE
VD4018;491;491;1;$1.;;0;c;TRUE
VD4019;492;499;8;8.;;0;i;FALSE
VD4020;500;507;8;8.;;0;i;FALSE
VD4030;508;508;1;$1.;;0;c;TRUE
VD4031;509;511;3;3.;;0;i;FALSE
VD4035;512;514;3;3.;;0;i;FALSE
VD4036;515;515;1;$1.;;0;c;TRUE
VD4037;516;516;1;$1.;;0;c;TRUE
VD4039;517;517;1;$1.;;0;c;TRUE
VD4040;518;518;1;$1.;;0;c;TRUE
VD4041;519;519;1;$1.;;0;c;TRUE
VD4042;520;520;1;$1.;;0;c;TRUE
VD4043;521;521;1;$1.;;0;c;TRUE
VD4049;522;522;1;$1.;;0;c;TRUE
