period;frequency;format;download_path;download_mode;missing_symbols;path;inputs_folder;data_folder;missing_symbols;ft_pessoas
2015-2q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2015/PNADC_022015_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_022015_20180816;.;Input_PNADC_trimestral.txt&PNADC_022015_20180816.txt
2015-3q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2015/PNADC_032015_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_032015_20180816;.;Input_PNADC_trimestral.txt&PNADC_032015_20180816.txt
2015-4q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2015/PNADC_042015_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_042015_20180816;.;Input_PNADC_trimestral.txt&PNADC_042015_20180816.txt
2016-1q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2016/PNADC_012016_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_012016_20180816;.;Input_PNADC_trimestral.txt&PNADC_012016_20180816.txt
2016-2q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2016/PNADC_022016_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_022016_20180816;.;Input_PNADC_trimestral.txt&PNADC_022016_20180816.txt
2016-3q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2016/PNADC_032016_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_032016_20180816;.;Input_PNADC_trimestral.txt&PNADC_032016_20180816.txt
2016-4q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2016/PNADC_042016_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_042016_20180816;.;Input_PNADC_trimestral.txt&PNADC_042016_20180816.txt
2017-1q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2017/PNADC_012017_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_012017_20180816;.;Input_PNADC_trimestral.txt&PNADC_012017_20180816.txt
2017-2q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2017/PNADC_022017_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_022017_20180816;.;Input_PNADC_trimestral.txt&PNADC_022017_20180816.txt
2017-3q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2017/PNADC_032017_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_032017_20180816;.;Input_PNADC_trimestral.txt&PNADC_032017_20180816.txt
2017-4q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2017/PNADC_042017_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_042017_20180816;.;Input_PNADC_trimestral.txt&PNADC_042017_20180816.txt
2018-1q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2018/PNADC_012018_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_012018_20180816;.;Input_PNADC_trimestral.txt&PNADC_012018_20180816.txt
2018-2q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2018/PNADC_022018.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_022018;.;Input_PNADC_trimestral.txt&PNADC_022018.txt
2012-anual-1v;yearly;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Dados/PNADC_2012_visita1_20180504.zip;source;.;;Documentacao;PNADC_2012_visita1_20180504;.;Input_PNADC_1entr_2012_a_2014_20180223.txt&PNADC_2012_visita1_20180504.txt
2013-anual-1v;yearly;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Dados/PNADC_2013_visita1_20180504.zip;source;.;;Documentacao;PNADC_2013_visita1_20180504;.;Input_PNADC_1entr_2012_a_2014_20180223.txt&PNADC_2013_visita1_20180504.txt
2014-anual-1v;yearly;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Dados/PNADC_2014_visita1_20180504.zip;source;.;;Documentacao;PNADC_2014_visita1_20180504;.;Input_PNADC_1entr_2012_a_2014_20180223.txt&PNADC_2014_visita1_20180504.txt
2015-anual-1v;yearly;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Dados/PNADC_2015_visita1_20180816.zip;source;.;;Documentacao;PNADC_2015_visita1_20180816;.;Input_PNADC_1entr_2015_20180223.txt&PNADC_2015_visita1_20180816.txt
2016-anual-1v;yearly;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Dados/PNADC_2016_visita1_20180816.zip;source;.;;Documentacao;PNADC_2016_visita1_20180816;.;Input_PNADC_1entr_2016_20180223.txt&PNADC_2016_visita1_20180816.txt
2017-anual-1v;yearly;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Dados/PNADC_2017_visita1_20180816.zip;source;.;;Documentacao;PNADC_2017_visita1_20180816;.;Input_PNADC_1entr_2017_20180426.txt&PNADC_2017_visita1_20180816.txt
2017-anual-5v;yearly;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Dados/PNADC_2017_visita5_20180816.zip;source;.;;Documentacao;PNADC_2017_visita5_20180816;.;Input_PNADC_5entr_2017.txt&PNADC_2017_visita5_20180816.txt
