int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;MASCARA;$10.;/*	Mascara da Escola	*/;10;0;10;c;TRUE
786;VEF2106;4.;/*	Matrícula Inicial na 6a. Série - 1º Turno (manhã)	*/;4;0;789;i;FALSE
794;VEF2107;4.;/*	Matrícula Inicial na 7a. Série - 1º Turno (manhã)	*/;4;0;797;i;FALSE
802;VEF2108;4.;/*	Matrícula Inicial na 8a. Série - 1º Turno (manhã)	*/;4;0;805;i;FALSE
810;VEF2109;4.;/*	Matrícula Inicial na 1a. Série - 2º Turno (intermediário da manhã)	*/;4;0;813;i;FALSE
818;VEF2110;4.;/*	Matrícula Inicial na 2a. Série - 2º Turno (intermediário da manhã)	*/;4;0;821;i;FALSE
826;VEF2111;4.;/*	Matrícula Inicial na 3a. Série - 2º Turno (intermediário da manhã)	*/;4;0;829;i;FALSE
834;VEF2112;4.;/*	Matrícula Inicial na 4a. Série - 2º Turno (intermediário da manhã)	*/;4;0;837;i;FALSE
842;VEF2113;4.;/*	Matrícula Inicial na 5a. Série - 2º Turno (intermediário da manhã)	*/;4;0;845;i;FALSE
850;VEF2114;4.;/*	Matrícula Inicial na 6a. Série - 2º Turno (intermediário da manhã)	*/;4;0;853;i;FALSE
858;VEF2115;4.;/*	Matrícula Inicial na 7a. Série - 2º Turno (intermediário da manhã)	*/;4;0;861;i;FALSE
866;VEF2116;4.;/*	Matrícula Inicial na 8a. Série - 2º Turno (intermediário da manhã)	*/;4;0;869;i;FALSE
874;VEF2117;4.;/*	Matrícula Inicial na 1a. Série - 3º Turno (tarde)	*/;4;0;877;i;FALSE
882;VEF2118;4.;/*	Matrícula Inicial na 2a. Série - 3º Turno (tarde)	*/;4;0;885;i;FALSE
890;VEF2119;4.;/*	Matrícula Inicial na 3a. Série - 3º Turno (tarde)	*/;4;0;893;i;FALSE
898;VEF2120;4.;/*	Matrícula Inicial na 4a. Série - 3º Turno (tarde)	*/;4;0;901;i;FALSE
906;VEF2121;4.;/*	Matrícula Inicial na 5a. Série - 3º Turno (tarde)	*/;4;0;909;i;FALSE
914;VEF2122;4.;/*	Matrícula Inicial na 6a. Série - 3º Turno (tarde)	*/;4;0;917;i;FALSE
922;VEF2123;4.;/*	Matrícula Inicial na 7a. Série - 3º Turno (tarde)	*/;4;0;925;i;FALSE
930;VEF2124;4.;/*	Matrícula Inicial na 8a. Série - 3º Turno (tarde)	*/;4;0;933;i;FALSE
938;VEF2125;4.;/*	Matrícula Inicial na 1a. Série - 4º Turno (intermediário da manhã)	*/;4;0;941;i;FALSE
946;VEF2126;4.;/*	Matrícula Inicial na 2a. Série - 4º Turno (intermediário da manhã)	*/;4;0;949;i;FALSE
954;VEF2127;4.;/*	Matrícula Inicial na 3a. Série - 4º Turno (intermediário da manhã)	*/;4;0;957;i;FALSE
962;VEF2128;4.;/*	Matrícula Inicial na 4a. Série - 4º Turno (intermediário da manhã)	*/;4;0;965;i;FALSE
970;VEF2129;4.;/*	Matrícula Inicial na 5a. Série - 4º Turno (intermediário da manhã)	*/;4;0;973;i;FALSE
978;VEF2130;4.;/*	Matrícula Inicial na 6a. Série - 4º Turno (intermediário da manhã)	*/;4;0;981;i;FALSE
986;VEF2131;4.;/*	Matrícula Inicial na 7a. Série - 4º Turno (intermediário da manhã)	*/;4;0;989;i;FALSE
994;VEF2132;4.;/*	Matrícula Inicial na 8a. Série - 4º Turno (intermediário da manhã)	*/;4;0;997;i;FALSE
1002;VEF2133;4.;/*	Matrícula Inicial na 1a. Série - Turno Noturno	*/;4;0;1005;i;FALSE
1010;VEF2134;4.;/*	Matrícula Inicial na 2a. Série - Turno Noturno	*/;4;0;1013;i;FALSE
1018;VEF2135;4.;/*	Matrícula Inicial na 3a. Série - Turno Noturno	*/;4;0;1021;i;FALSE
1026;VEF2136;4.;/*	Matrícula Inicial na 4a. Série - Turno Noturno	*/;4;0;1029;i;FALSE
1034;VEF2137;4.;/*	Matrícula Inicial na 5a. Série - Turno Noturno	*/;4;0;1037;i;FALSE
1042;VEF2138;4.;/*	Matrícula Inicial na 6a. Série - Turno Noturno	*/;4;0;1045;i;FALSE
1050;VEF2139;4.;/*	Matrícula Inicial na 7a. Série - Turno Noturno	*/;4;0;1053;i;FALSE
1058;VEF2140;4.;/*	Matrícula Inicial na 8a. Série - Turno Noturno	*/;4;0;1061;i;FALSE
1066;VEF2141;4.;/*	Matrícula Inicial na 1a. Série - Tempo Integral	*/;4;0;1069;i;FALSE
1074;VEF2142;4.;/*	Matrícula Inicial na 2a. Série - Tempo Integral	*/;4;0;1077;i;FALSE
1082;VEF2143;4.;/*	Matrícula Inicial na 3a. Série - Tempo Integral	*/;4;0;1085;i;FALSE
1090;VEF2144;4.;/*	Matrícula Inicial na 4a. Série - Tempo Integral	*/;4;0;1093;i;FALSE
1098;VEF2145;4.;/*	Matrícula Inicial na 5a. Série - Tempo Integral	*/;4;0;1101;i;FALSE
1106;VEF2146;4.;/*	Matrícula Inicial na 6a. Série - Tempo Integral	*/;4;0;1109;i;FALSE
1114;VEF2147;4.;/*	Matrícula Inicial na 7a. Série - Tempo Integral	*/;4;0;1117;i;FALSE
1122;VEF2148;4.;/*	Matrícula Inicial na 8a. Série - Tempo Integral	*/;4;0;1125;i;FALSE
1130;VEF2201;3.;/*	Turmas na 1a. Série - 1º Turno (manhã)	*/;3;0;1132;i;FALSE
1138;VEF2202;3.;/*	Turmas na 2a. Série - 1º Turno (manhã)	*/;3;0;1140;i;FALSE
1146;VEF2203;3.;/*	Turmas na 3a. Série - 1º Turno (manhã)	*/;3;0;1148;i;FALSE
1154;VEF2204;3.;/*	Turmas na 4a. Série - 1º Turno (manhã)	*/;3;0;1156;i;FALSE
1162;VEF2205;3.;/*	Turmas na 5a. Série - 1º Turno (manhã)	*/;3;0;1164;i;FALSE
1170;VEF2206;3.;/*	Turmas na 6a. Série - 1º Turno (manhã)	*/;3;0;1172;i;FALSE
1178;VEF2207;3.;/*	Turmas na 7a. Série - 1º Turno (manhã)	*/;3;0;1180;i;FALSE
1186;VEF2208;3.;/*	Turmas na 8a. Série - 1º Turno (manhã)	*/;3;0;1188;i;FALSE
1194;VEF2209;3.;/*	Turmas Multisseriados - 1º Turno (manhã)	*/;3;0;1196;i;FALSE
1202;VEF2210;3.;/*	Turmas na 1a. Série - 2º Turno (intermediário da manhã)	*/;3;0;1204;i;FALSE
1210;VEF2211;3.;/*	Turmas na 2a. Série - 2º Turno (intermediário da manhã)	*/;3;0;1212;i;FALSE
1218;VEF2212;3.;/*	Turmas na 3a. Série - 2º Turno (intermediário da manhã)	*/;3;0;1220;i;FALSE
1226;VEF2213;3.;/*	Turmas na 4a. Série - 2º Turno (intermediário da manhã)	*/;3;0;1228;i;FALSE
1234;VEF2214;3.;/*	Turmas na 5a. Série - 2º Turno (intermediário da manhã)	*/;3;0;1236;i;FALSE
1242;VEF2215;3.;/*	Turmas na 6a. Série - 2º Turno (intermediário da manhã)	*/;3;0;1244;i;FALSE
1250;VEF2216;3.;/*	Turmas na 7a. Série - 2º Turno (intermediário da manhã)	*/;3;0;1252;i;FALSE
1258;VEF2217;3.;/*	Turmas na 8a. Série - 2º Turno (intermediário da manhã)	*/;3;0;1260;i;FALSE
1266;VEF2218;3.;/*	Turmas Multisseriados - 2º Turno (intermediário da manhã)	*/;3;0;1268;i;FALSE
1274;VEF2219;3.;/*	Turmas na 1a. Série - 3º Turno (tarde)	*/;3;0;1276;i;FALSE
1282;VEF2220;3.;/*	Turmas na 2a. Série - 3º Turno (tarde)	*/;3;0;1284;i;FALSE
1290;VEF2221;3.;/*	Turmas na 3a. Série - 3º Turno (tarde)	*/;3;0;1292;i;FALSE
1298;VEF2222;3.;/*	Turmas na 4a. Série - 3º Turno (tarde)	*/;3;0;1300;i;FALSE
1306;VEF2223;3.;/*	Turmas na 5a. Série - 3º Turno (tarde)	*/;3;0;1308;i;FALSE
1314;VEF2224;3.;/*	Turmas na 6a. Série - 3º Turno (tarde)	*/;3;0;1316;i;FALSE
1322;VEF2225;3.;/*	Turmas na 7a. Série - 3º Turno (tarde)	*/;3;0;1324;i;FALSE
1330;VEF2226;3.;/*	Turmas na 8a. Série - 3º Turno (tarde)	*/;3;0;1332;i;FALSE
1338;VEF2227;3.;/*	Turmas Multisseriados - 3º Turno (tarde)	*/;3;0;1340;i;FALSE
1346;VEF2228;3.;/*	Turmas na 1a. Série - 4º Turno (intermediário da tarde)	*/;3;0;1348;i;FALSE
1354;VEF2229;3.;/*	Turmas na 2a. Série - 4º Turno (intermediário da tarde)	*/;3;0;1356;i;FALSE
1362;VEF2230;3.;/*	Turmas na 3a. Série - 4º Turno (intermediário da tarde)	*/;3;0;1364;i;FALSE
1370;VEF2231;3.;/*	Turmas na 4a. Série - 4º Turno (intermediário da tarde)	*/;3;0;1372;i;FALSE
1378;VEF2232;3.;/*	Turmas na 5a. Série - 4º Turno (intermediário da tarde)	*/;3;0;1380;i;FALSE
1386;VEF2233;3.;/*	Turmas na 6a. Série - 4º Turno (intermediário da tarde)	*/;3;0;1388;i;FALSE
1394;VEF2234;3.;/*	Turmas na 7a. Série - 4º Turno (intermediário da tarde)	*/;3;0;1396;i;FALSE
1402;VEF2235;3.;/*	Turmas na 8a. Série - 4º Turno (intermediário da tarde)	*/;3;0;1404;i;FALSE
1410;VEF2236;3.;/*	Turmas Multisseriados - 4º Turno (intermediário da tarde)	*/;3;0;1412;i;FALSE
1418;VEF2237;3.;/*	Turmas na 1a. Série - Turno Noturno	*/;3;0;1420;i;FALSE
1426;VEF2238;3.;/*	Turmas na 2a. Série - Turno Noturno	*/;3;0;1428;i;FALSE
1434;VEF2239;3.;/*	Turmas na 3a. Série - Turno Noturno	*/;3;0;1436;i;FALSE
1442;VEF2240;3.;/*	Turmas na 4a. Série - Turno Noturno	*/;3;0;1444;i;FALSE
1450;VEF2241;3.;/*	Turmas na 5a. Série - Turno Noturno	*/;3;0;1452;i;FALSE
1458;VEF2242;3.;/*	Turmas na 6a. Série - Turno Noturno	*/;3;0;1460;i;FALSE
1466;VEF2243;3.;/*	Turmas na 7a. Série - Turno Noturno	*/;3;0;1468;i;FALSE
1474;VEF2244;3.;/*	Turmas na 8a. Série - Turno Noturno	*/;3;0;1476;i;FALSE
1482;VEF2245;3.;/*	Turmas Multisseriados - Turno Noturno	*/;3;0;1484;i;FALSE
1490;VEF2246;3.;/*	Turmas na 1a. Série - Tempo Integral	*/;3;0;1492;i;FALSE
1498;VEF2247;3.;/*	Turmas na 2a. Série - Tempo Integral	*/;3;0;1500;i;FALSE
1506;VEF2248;3.;/*	Turmas na 3a. Série - Tempo Integral	*/;3;0;1508;i;FALSE
1514;VEF2249;3.;/*	Turmas na 4a. Série - Tempo Integral	*/;3;0;1516;i;FALSE
1522;VEF2250;3.;/*	Turmas na 5a. Série - Tempo Integral	*/;3;0;1524;i;FALSE
1530;VEF2251;3.;/*	Turmas na 6a. Série - Tempo Integral	*/;3;0;1532;i;FALSE
1538;VEF2252;3.;/*	Turmas na 7a. Série - Tempo Integral	*/;3;0;1540;i;FALSE
1546;VEF2253;3.;/*	Turmas na 8a. Série - Tempo Integral	*/;3;0;1548;i;FALSE
1554;VEF2254;3.;/*	Turmas Multisseriados - Tempo Integral	*/;3;0;1556;i;FALSE
1562;VEF2301;5.;/*	Matrícula Inicial na 1a. Serie (com menos de 7 Anos)	*/;5;0;1566;i;FALSE
1570;VEF2302;5.;/*	Matrícula Inicial na 1a. Serie (com 7 Anos)	*/;5;0;1574;i;FALSE
1578;VEF2303;5.;/*	Matrícula Inicial na 1a. Serie (com 8 Anos)	*/;5;0;1582;i;FALSE
1586;VEF2304;5.;/*	Matrícula Inicial na 1a. Serie (com 9 Anos)	*/;5;0;1590;i;FALSE
1594;VEF2305;5.;/*	Matrícula Inicial na 1a. Serie (com 10 Anos)	*/;5;0;1598;i;FALSE
1602;VEF2306;5.;/*	Matrícula Inicial na 1a. Serie (com 11 Anos)	*/;5;0;1606;i;FALSE
1610;VEF2307;5.;/*	Matrícula Inicial na 1a. Serie (com 12 Anos)	*/;5;0;1614;i;FALSE
1618;VEF2308;5.;/*	Matrícula Inicial na 1a. Serie (com 13 Anos)	*/;5;0;1622;i;FALSE
1626;VEF2309;5.;/*	Matrícula Inicial na 1a. Serie (com 14 Anos)	*/;5;0;1630;i;FALSE
1634;VEF2310;5.;/*	Matrícula Inicial na 1a. Serie (com 15 Anos)	*/;5;0;1638;i;FALSE
1642;VEF2311;5.;/*	Matrícula Inicial na 1a. Serie (com mais de 15 Anos)	*/;5;0;1646;i;FALSE
1650;VEF2312;5.;/*	Matrícula Inicial na 2a. Serie (com menos de 7 Anos)	*/;5;0;1654;i;FALSE
1658;VEF2313;5.;/*	Matrícula Inicial na 2a. Serie (com 7 Anos)	*/;5;0;1662;i;FALSE
1666;VEF2314;5.;/*	Matrícula Inicial na 2a. Serie (com 8 Anos)	*/;5;0;1670;i;FALSE
1674;VEF2315;5.;/*	Matrícula Inicial na 2a. Serie (com 9 Anos)	*/;5;0;1678;i;FALSE
1682;VEF2316;5.;/*	Matrícula Inicial na 2a. Serie (com 10 Anos)	*/;5;0;1686;i;FALSE
1690;VEF2317;5.;/*	Matrícula Inicial na 2a. Serie (com 11 Anos)	*/;5;0;1694;i;FALSE
1698;VEF2318;5.;/*	Matrícula Inicial na 2a. Serie (com 12 Anos)	*/;5;0;1702;i;FALSE
1706;VEF2319;5.;/*	Matrícula Inicial na 2a. Serie (com 13 Anos)	*/;5;0;1710;i;FALSE
1714;VEF2320;5.;/*	Matrícula Inicial na 2a. Serie (com 14 Anos)	*/;5;0;1718;i;FALSE
1722;VEF2321;5.;/*	Matrícula Inicial na 2a. Serie (com 15 Anos)	*/;5;0;1726;i;FALSE
1730;VEF2322;5.;/*	Matrícula Inicial na 2a. Serie (com mais de 15 Anos)	*/;5;0;1734;i;FALSE
1738;VEF2323;5.;/*	Matrícula Inicial na 3a. Serie (com 7 Anos)	*/;5;0;1742;i;FALSE
1746;VEF2324;5.;/*	Matrícula Inicial na 3a. Serie (com 8 Anos)	*/;5;0;1750;i;FALSE
1754;VEF2325;5.;/*	Matrícula Inicial na 3a. Serie (com 9 Anos)	*/;5;0;1758;i;FALSE
1762;VEF2326;5.;/*	Matrícula Inicial na 3a. Serie (com 10 Anos)	*/;5;0;1766;i;FALSE
1770;VEF2327;5.;/*	Matrícula Inicial na 3a. Serie (com 11 Anos)	*/;5;0;1774;i;FALSE
1778;VEF2328;5.;/*	Matrícula Inicial na 3a. Serie (com 12 Anos)	*/;5;0;1782;i;FALSE
1786;VEF2329;5.;/*	Matrícula Inicial na 3a. Serie (com 13 Anos)	*/;5;0;1790;i;FALSE
1794;VEF2330;5.;/*	Matrícula Inicial na 3a. Serie (com 14 Anos)	*/;5;0;1798;i;FALSE
1802;VEF2331;5.;/*	Matrícula Inicial na 3a. Serie (com 15 Anos)	*/;5;0;1806;i;FALSE
1810;VEF2332;5.;/*	Matrícula Inicial na 3a. Serie (com mais de 15 Anos)	*/;5;0;1814;i;FALSE
1818;VEF2333;5.;/*	Matrícula Inicial na 4a. Serie (com 8 Anos)	*/;5;0;1822;i;FALSE
1826;VEF2334;5.;/*	Matrícula Inicial na 4a. Serie (com 9 Anos)	*/;5;0;1830;i;FALSE
1834;VEF2335;5.;/*	Matrícula Inicial na 4a. Serie (com 10 Anos)	*/;5;0;1838;i;FALSE
1842;VEF2336;5.;/*	Matrícula Inicial na 4a. Serie (com 11 Anos)	*/;5;0;1846;i;FALSE
1850;VEF2337;5.;/*	Matrícula Inicial na 4a. Serie (com 12 Anos)	*/;5;0;1854;i;FALSE
1858;VEF2338;5.;/*	Matrícula Inicial na 4a. Serie (com 13 Anos)	*/;5;0;1862;i;FALSE
1866;VEF2339;5.;/*	Matrícula Inicial na 4a. Serie (com 14 Anos)	*/;5;0;1870;i;FALSE
1874;VEF2340;5.;/*	Matrícula Inicial na 4a. Serie (com 15 Anos)	*/;5;0;1878;i;FALSE
1882;VEF2341;5.;/*	Matrícula Inicial na 4a. Serie (com mais de 15 Anos)	*/;5;0;1886;i;FALSE
1890;VEF2342;5.;/*	Matrícula Inicial na 5a. Serie (com 9 Anos)	*/;5;0;1894;i;FALSE
1898;VEF2343;5.;/*	Matrícula Inicial na 5a. Serie (com 10 Anos)	*/;5;0;1902;i;FALSE
1906;VEF2344;5.;/*	Matrícula Inicial na 5a. Serie (com 11 Anos)	*/;5;0;1910;i;FALSE
1914;VEF2345;5.;/*	Matrícula Inicial na 5a. Serie (com 12 Anos)	*/;5;0;1918;i;FALSE
