int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;MASCARA;8.;/*	Máscara da Escola	*/;8;0;8;i;FALSE
175;ED_IN_LM;$CHAR1.;/*	Escolas destinadas ao atendimento exclusivo de educandos de comunidades indígenas - Língua em que o ensino é ministrado / Língua Indígena	*/;1;0;175;c;TRUE
176;COD_ID_IND;$CHAR3.;/*	Código da Língua indígena	*/;3;0;178;c;TRUE
179;ED_IN_LP;$CHAR1.;/*	Escolas destinadas ao atendimento exclusivo de educandos de comunidades indígenas - Língua em que o ensino é ministrado / Língua Portuguesa	*/;1;0;179;c;TRUE
180;MAT_ETNI;$CHAR1.;/*	Escolas destinadas ao atendimento exclusivo de educandos de comunidades indígenas - Educação indígena / Materiais didáticos específicos	*/;1;0;180;c;TRUE
181;ESC_T_IN;$CHAR1.;/*	Escolas destinadas ao atendimento exclusivo de educandos de comunidades indígenas - Educação indígena / Localização em terra indígena	*/;1;0;181;c;TRUE
182;PRED_ESC;$CHAR1.;/*	Local de funcionamento da escola / Prédio escolar	*/;1;0;182;c;TRUE
183;TEMPLO;$CHAR1.;/*	Local de funcionamento da escola / Templo/igreja	*/;1;0;183;c;TRUE
184;EMPRESA;$CHAR1.;/*	Local de funcionamento da escola / Salas de empresa	*/;1;0;184;c;TRUE
185;CAS_PROF;$CHAR1.;/*	Local de funcionamento da escola / Casa do professor	*/;1;0;185;c;TRUE
186;OUTR_ESC;$CHAR1.;/*	Local de funcionamento da escola / Salas em outra escola	*/;1;0;186;c;TRUE
187;GALPAO;$CHAR1.;/*	Local de funcionamento da escola / Galpão/rancho/paiol/barracão	*/;1;0;187;c;TRUE
188;UN_INT;$CHAR1.;/*	Local de funcionamento da escola / Unidades de Internação	*/;1;0;188;c;TRUE
189;OUTR_INS;$CHAR1.;/*	Local de funcionamento da escola / Outros	*/;1;0;189;c;TRUE
190;PROP_FED;$CHAR1.;/*	Entidade Proprietária do Imóvel / Federal	*/;1;0;190;c;TRUE
191;PROP_EST;$CHAR1.;/*	Entidade Proprietária do Imóvel / Estadual	*/;1;0;191;c;TRUE
192;PROP_MUN;$CHAR1.;/*	Entidade Proprietária do Imóvel / Municipal	*/;1;0;192;c;TRUE
193;PROP_PAR;$CHAR1.;/*	Entidade Proprietária do Imóvel / Particular	*/;1;0;193;c;TRUE
194;PROPRIO;$CHAR1.;/*	Forma de Ocupação do Prédio / Próprio	*/;1;0;194;c;TRUE
195;ALUGADO;$CHAR1.;/*	Forma de Ocupação do Prédio / Alugado	*/;1;0;195;c;TRUE
196;CEDIDO;$CHAR1.;/*	Forma de Ocupação do Prédio / Cedido	*/;1;0;196;c;TRUE
197;PRED_COM;$CHAR1.;/*	Prédio Compartilhado com Outra Escola	*/;1;0;197;c;TRUE
198;ESC_COM;$CHAR10.;/*	Código da escola com a qual compartilha	*/;10;0;207;c;TRUE
208;DIRETORI;$CHAR1.;/*	Dependências Existentes / Diretoria	*/;1;0;208;c;TRUE
209;SECRETAR;$CHAR1.;/*	Dependências Existentes / Secretaria	*/;1;0;209;c;TRUE
210;SAL_DE_P;$CHAR1.;/*	Dependências Existentes / Sala de Professores	*/;1;0;210;c;TRUE
211;ALMOXARI;$CHAR1.;/*	Dependências Existentes / Almoxarifado	*/;1;0;211;c;TRUE
212;VIDEOTEC;$CHAR1.;/*	Dependências Existentes / Videoteca	*/;1;0;212;c;TRUE
213;SALTVVID;$CHAR1.;/*	Dependências Existentes / Sala para TV/Vídeo	*/;1;0;213;c;TRUE
214;LAB_INFO;$CHAR1.;/*	Dependências Existentes / Laboratório de Informática	*/;1;0;214;c;TRUE
215;LAB_CIEN;$CHAR1.;/*	Dependências Existentes / Laboratório de Ciências	*/;1;0;215;c;TRUE
216;SALA_ESP;$CHAR1.;/*	Dependências Existentes / Sala de recursos para alunos com necessidades educacionais especiais	*/;1;0;216;c;TRUE
217;LAB_OUTR;$CHAR1.;/*	Dependências Existentes / Outros Laboratórios/Oficinas	*/;1;0;217;c;TRUE
218;BRINQ;$CHAR1.;/*	Dependências Existentes / Brinquedoteca	*/;1;0;218;c;TRUE
219;AUDIT;$CHAR1.;/*	Dependências Existentes / Auditório	*/;1;0;219;c;TRUE
220;SOL;$CHAR1.;/*	Dependências Existentes / Solário	*/;1;0;220;c;TRUE
221;GIN_ESP;$CHAR1.;/*	Dependências Existentes / Ginásio de Esportes	*/;1;0;221;c;TRUE
222;COZINHA;$CHAR1.;/*	Dependências Existentes / Cozinha	*/;1;0;222;c;TRUE
223;CANTINA;$CHAR1.;/*	Dependências Existentes / Cantina	*/;1;0;223;c;TRUE
224;REFEITOR;$CHAR1.;/*	Dependências Existentes / Refeitório	*/;1;0;224;c;TRUE
225;LACT;$CHAR1.;/*	Dependências Existentes /Lactário	*/;1;0;225;c;TRUE
226;PARQ_INF;$CHAR1.;/*	Dependências Existentes / Parque Infantil	*/;1;0;226;c;TRUE
227;DORMITOR;$CHAR1.;/*	Dependências Existentes / Dormitório	*/;1;0;227;c;TRUE
228;BERCARIO;$CHAR1.;/*	Dependências Existentes / Berçário	*/;1;0;228;c;TRUE
229;QUAD_DES;$CHAR1.;/*	Dependências Existentes / Quadra de Esporte Descoberta	*/;1;0;229;c;TRUE
230;QUAD_COB;$CHAR1.;/*	Dependências Existentes / Quadra de Esporte Coberta	*/;1;0;230;c;TRUE
231;PISCINA;$CHAR1.;/*	Dependências Existentes / Piscina	*/;1;0;231;c;TRUE
232;DEP_ALIM;$CHAR1.;/*	Dependências Existentes / Depósito de Alimentos	*/;1;0;232;c;TRUE
233;SANI_FOR;$CHAR1.;/*	Dependências Existentes / Sanitário fora do Prédio	*/;1;0;233;c;TRUE
234;SANI_DEN;$CHAR1.;/*	Dependências Existentes / Sanitário dentro do Prédio	*/;1;0;234;c;TRUE
235;SANI_PRE;$CHAR1.;/*	Dependências Existentes / Sanitário adequado à Pré-Escola	*/;1;0;235;c;TRUE
236;SANI_ESP;$CHAR1.;/*	Dependências Existentes / Sanitário adequado a portadores de necessidades especiais	*/;1;0;236;c;TRUE
237;DEP_ESP;$CHAR1.;/*	Dependências Existentes / Dependências e vias adequadas a portadores de necessidades especiais/acessabilidade	*/;1;0;237;c;TRUE
238;LAV;$CHAR1.;/*	Dependências Existentes / Lavanderia	*/;1;0;238;c;TRUE
239;FRALD;$CHAR1.;/*	Dependências Existentes / Fraldário	*/;1;0;239;c;TRUE
240;NDA;$CHAR1.;/*	Dependências Existentes / Nenhuma das Dependências Relacionadas	*/;1;0;240;c;TRUE
241;BIBLIO;$CHAR1.;/*	Existência de Biblioteca na escola	*/;1;0;241;c;TRUE
242;SAL_LEIT;$CHAR1.;/*	Existência de Sala de Leitura na escola	*/;1;0;242;c;TRUE
243;RESP_BIBLIO;$CHAR1.;/*	Responsável pelo funcionamento da biblioteca – Bibliotecário formado	*/;1;0;243;c;TRUE
244;RESP_PROF;$CHAR1.;/*	Responsável pelo funcionamento da biblioteca – Professor	*/;1;0;244;c;TRUE
245;RESP_TECN;$CHAR1.;/*	Responsável pelo funcionamento da biblioteca – Técnico Administrativo	*/;1;0;245;c;TRUE
246;RESP_OUT;$CHAR1.;/*	Responsável pelo funcionamento da biblioteca – Outra pessoa	*/;1;0;246;c;TRUE
247;RESP_NP;$CHAR1.;/*	Responsável pelo funcionamento da biblioteca – Não possui responsável	*/;1;0;247;c;TRUE
248;BIB_MESA;$CHAR1.;/*	Materiais que a biblioteca/sala de leitura possui – Mesa para leitura	*/;1;0;248;c;TRUE
249;BIB_OBRASDID;$CHAR1.;/*	Materiais que a biblioteca/sala de leitura possui – Obras didáticas	*/;1;0;249;c;TRUE
250;BIB_PERIOD;$CHAR1.;/*	Materiais que a biblioteca/sala de leitura possui – Periódicos	*/;1;0;250;c;TRUE
251;BIB_ATLAS;$CHAR1.;/*	Materiais que a biblioteca/sala de leitura possui – Atlas	*/;1;0;251;c;TRUE
252;BIB_ESTAN;$CHAR1.;/*	Materiais que a biblioteca/sala de leitura possui – Estante/Armário	*/;1;0;252;c;TRUE
253;BIB_OBRASDOC;$CHAR1.;/*	Materiais que a biblioteca/sala de leitura possui – Obras documentárias	*/;1;0;253;c;TRUE
254;BIB_ENCIC;$CHAR1.;/*	Materiais que a biblioteca/sala de leitura possui – Enciclopédia	*/;1;0;254;c;TRUE
255;BIB_MAPAS;$CHAR1.;/*	Materiais que a biblioteca/sala de leitura possui – Mapas	*/;1;0;255;c;TRUE
256;BIB_COMP;$CHAR1.;/*	Materiais que a biblioteca/sala de leitura possui – Computador	*/;1;0;256;c;TRUE
257;BIB_OBRASINF;$CHAR1.;/*	Materiais que a biblioteca/sala de leitura possui – Obras de literatura infantil e juvenil	*/;1;0;257;c;TRUE
258;BIB_DIC;$CHAR1.;/*	Materiais que a biblioteca/sala de leitura possui – Dicionário	*/;1;0;258;c;TRUE
259;BIB_GLOBO;$CHAR1.;/*	Materiais que a biblioteca/sala de leitura possui – Globo Terrestre	*/;1;0;259;c;TRUE
260;BIB_OBRASFOR;$CHAR1.;/*	Materiais que a biblioteca/sala de leitura possui – Obras para formação dos professores	*/;1;0;260;c;TRUE
261;BIB_OBRASLIT;$CHAR1.;/*	Materiais que a biblioteca/sala de leitura possui – Obras de literatura 	*/;1;0;261;c;TRUE
262;BIB_GRAM;$CHAR1.;/*	Materiais que a biblioteca/sala de leitura possui – Gramática	*/;1;0;262;c;TRUE
263;VIS_PED;$CHAR1.;/*	Visitas Biblioteca/sala de leitura – Como parte das atividades previstas pelo projeto pedagógico da escola	*/;1;0;263;c;TRUE
264;VIS_COM;$CHAR1.;/*	Visitas Biblioteca/sala de leitura – Por iniciativa da comunidade	*/;1;0;264;c;TRUE
265;VIS_ALU;$CHAR1.;/*	Visitas Biblioteca/sala de leitura – Por iniciativa dos alunos	*/;1;0;265;c;TRUE
266;VIS_NH;$CHAR1.;/*	Visitas Biblioteca/sala de leitura – Não há visitas à biblioteca	*/;1;0;266;c;TRUE
267;VIS_PROF;$CHAR1.;/*	Visitas Biblioteca/sala de leitura – Por iniciativa dos professores	*/;1;0;267;c;TRUE
268;FOG_IND;$CHAR1.;/*	Utensílios de copa/cozinha em uso na escola / Fogão Industrial	*/;1;0;268;c;TRUE
269;FOG_DOM;$CHAR1.;/*	Utensílios de copa/cozinha em uso na escola / Fogão Doméstico	*/;1;0;269;c;TRUE
270;FOG_LENH;$CHAR1.;/*	Utensílios de copa/cozinha em uso na escola / Fogão a Lenha	*/;1;0;270;c;TRUE
271;GELADEIR;$CHAR1.;/*	Utensílios de copa/cozinha em uso na escola / Geladeira	*/;1;0;271;c;TRUE
272;FORNO;$CHAR1.;/*	Utensílios de copa/cozinha em uso na escola / Forno	*/;1;0;272;c;TRUE
273;FREEZER;$CHAR1.;/*	Utensílios de copa/cozinha em uso na escola / Freezer	*/;1;0;273;c;TRUE
274;FILTRO;$CHAR1.;/*	Utensílios de copa/cozinha em uso na escola / Filtro	*/;1;0;274;c;TRUE
275;LIQUIDIF;$CHAR1.;/*	Utensílios de copa/cozinha em uso na escola / Liquidificador	*/;1;0;275;c;TRUE
276;BALANCA;$CHAR1.;/*	Utensílios de copa/cozinha em uso na escola / Balança	*/;1;0;276;c;TRUE
277;AGUA_FIL;$CHAR1.;/*	Consumo de água filtrada pelos alunos	*/;1;0;277;c;TRUE
278;LIXO_COL;$CHAR1.;/*	Destinação do Lixo / Coleta Periódica	*/;1;0;278;c;TRUE
279;LIXO_REU;$CHAR1.;/*	Destinação do Lixo / Reutiliza	*/;1;0;279;c;TRUE
280;LIXO_QUE;$CHAR1.;/*	Destinação do Lixo / Queima	*/;1;0;280;c;TRUE
281;LIXO_REC;$CHAR1.;/*	Destinação do Lixo / Recicla	*/;1;0;281;c;TRUE
282;LIXO_JOG;$CHAR1.;/*	Destinação do Lixo / Joga em outra área	*/;1;0;282;c;TRUE
283;LIXO_ENT;$CHAR1.;/*	Destinação do Lixo / Enterra	*/;1;0;283;c;TRUE
284;VVIDEO;12.;/*	Equipamentos em Uso na Escola / Videocassete	*/;12;0;295;d;FALSE
296;VTV;12.;/*	Equipamentos em Uso na Escola / Aparelho de Televisão	*/;12;0;307;d;FALSE
308;PARABOL;12.;/*	Equipamentos em Uso na Escola / Antena Parabólica	*/;12;0;319;d;FALSE
320;PARAB_INT;12.;/*	Equipamentos em Uso na Escola / Antena Parabólica para conexão com a internet	*/;12;0;331;d;FALSE
332;RETRO;12.;/*	Equipamentos em Uso na Escola / Retropojetor	*/;12;0;343;d;FALSE
344;VCOPIAD;12.;/*	Equipamentos em Uso na Escola / Máquina Copiadora	*/;12;0;355;d;FALSE
356;ARSALAS;12.;/*	Equipamentos em Uso na Escola / Ar-Condicionado em Salas de Aula	*/;12;0;367;d;FALSE
368;MIMEOGRA;12.;/*	Equipamentos em Uso na Escola / Mimeógrafo Elétrico	*/;12;0;379;d;FALSE
380;MIMEO_ALC;12.;/*	Equipamentos em Uso na Escola / Mimeógrafo/Duplicador a álcool	*/;12;0;391;d;FALSE
392;VFAX;12.;/*	Equipamentos em Uso na Escola / Aparelho de Fax	*/;12;0;403;d;FALSE
404;APSOM;12.;/*	Equipamentos em Uso na Escola / Aparelho de Som	*/;12;0;415;d;FALSE
416;MAQ_FOT;12.;/*	Equipamentos em Uso na Escola / Máquina Fotográfica	*/;12;0;427;d;FALSE
428;BEBED;12.;/*	Equipamentos em Uso na Escola / Bebedouro	*/;12;0;439;d;FALSE
440;FILMAD;12.;/*	Equipamentos em Uso na Escola / Filmadora	*/;12;0;451;d;FALSE
452;VENTILAD;12.;/*	Equipamentos em Uso na Escola / Ventilador em Salas de Aula	*/;12;0;463;d;FALSE
464;COMPPENT;12.;/*	Equipamentos de Informática em Uso na Escola / Microcomputador Pentium ou superior	*/;12;0;475;d;FALSE
476;PC486386;12.;/*	Equipamentos de Informática em Uso na Escola / Microcomputador 486/386	*/;12;0;487;d;FALSE
488;COMPAPP;12.;/*	Equipamentos de Informática em Uso na Escola / Microcomputador – Apple	*/;12;0;499;d;FALSE
500;VIMPRESS;12.;/*	Equipamentos de Informática em Uso na Escola / Impressora	*/;12;0;511;d;FALSE
512;VDATASHOW;12.;/*	Equipamentos de Informática em Uso na Escola / Datashow	*/;12;0;523;d;FALSE
524;IMPRES_BRAI;12.;/*	Equipamentos de Informática em Uso na Escola / Impressora Braille	*/;12;0;535;d;FALSE
536;REDE_LOC;$CHAR1.;/*	Os Equipamentos de Informática estão interligados em rede local	*/;1;0;536;c;TRUE
537;INTERNET;$CHAR1.;/*	A Escola está ligada na Rede Mundial de Informática (INTERNET)	*/;1;0;537;c;TRUE
538;CONEX_DISC;$CHAR1.;/*	Tipo de conexão da Internet - Discado (linha telefônica)	*/;1;0;538;c;TRUE
539;CONEX_DED;$CHAR1.;/*	Tipo de conexão da Internet - Dedicado (alta velocidade/banda larga)	*/;1;0;539;c;TRUE
540;CONEX_64;$CHAR1.;/*	Velocidade de conexão à internet - Inferior a 64 kbps	*/;1;0;540;c;TRUE
541;CONEX_64A128;$CHAR1.;/*	Velocidade de conexão à internet - De 64 a 128 kbps	*/;1;0;541;c;TRUE
542;CONEX_129A512;$CHAR1.;/*	Velocidade de conexão à internet - De 129 a 512 kbps	*/;1;0;542;c;TRUE
543;CONEX_512;$CHAR1.;/*	Velocidade de conexão à internet - Superior a 512 kbps	*/;1;0;543;c;TRUE
544;INFOPEDA;$CHAR1.;/*	Tipo de Aplicação da Informática - Pedagógico	*/;1;0;544;c;TRUE
545;INFOADM;$CHAR1.;/*	Aplicação da Informática - Administrativo	*/;1;0;545;c;TRUE
546;INFOLAB;$CHAR1.;/*	Uso dos microcomputadores - Em Laboratórios/salas de informática	*/;1;0;546;c;TRUE
547;INFOAULA;$CHAR1.;/*	Uso dos microcomputadores - Em Salas de Aula	*/;1;0;547;c;TRUE
548;INFOBIBLI;$CHAR1.;/*	Uso dos microcomputadores - Em Biblioteca	*/;1;0;548;c;TRUE
549;INFOSALAPROF;$CHAR1.;/*	Uso dos microcomputadores - Em sala de professores	*/;1;0;549;c;TRUE
550;INFOOUTR;$CHAR1.;/*	Uso dos microcomputadores - Em Outros locais	*/;1;0;550;c;TRUE
551;USO_CRECHE;$CHAR1.;/*	Usuários de microcomputadores - Crianças de creche	*/;1;0;551;c;TRUE
552;USO_PRE;$CHAR1.;/*	Usuários de microcomputadores - Crianças de pré-escola	*/;1;0;552;c;TRUE
553;USO_1A4;$CHAR1.;/*	Usuários de microcomputadores - Alunos de 1ª a 4ª série	*/;1;0;553;c;TRUE
554;USO_5A8;$CHAR1.;/*	Usuários de microcomputadores - Alunos de 5ª a 8ª série	*/;1;0;554;c;TRUE
555;USO_MEDIO;$CHAR1.;/*	Usuários de microcomputadores - Alunos de nível médio	*/;1;0;555;c;TRUE
556;USO_PROF;$CHAR1.;/*	Usuários de microcomputadores - Professores	*/;1;0;556;c;TRUE
557;USO_OUTROS;$CHAR1.;/*	Usuários de microcomputadores - Outros profissionais	*/;1;0;557;c;TRUE
558;ENER_PUB;$CHAR1.;/*	Abastecimento de Energia Elétrica / Rede Pública	*/;1;0;558;c;TRUE
559;ENER_GER;$CHAR1.;/*	Abastecimento de Energia Elétrica / Gerador Próprio	*/;1;0;559;c;TRUE
560;ENER_SOL;$CHAR1.;/*	Abastecimento de Energia Elétrica / Energia Solar	*/;1;0;560;c;TRUE
561;ENER_EOL;$CHAR1.;/*	Abastecimento de Energia Elétrica / Energia eólica	*/;1;0;561;c;TRUE
562;ENER_INE;$CHAR1.;/*	Abastecimento de Energia Elétrica / Inexistente	*/;1;0;562;c;TRUE
563;VOLTAGEM;$CHAR10.;/*	Abastecimento de Energia Elétrica / Voltagem	*/;10;0;572;c;TRUE
573;AGUA_PUB;$CHAR1.;/*	Abastecimento de Água / Rede Pública	*/;1;0;573;c;TRUE
574;AGUA_ART;$CHAR1.;/*	Abastecimento de Água / Poço Artesiano	*/;1;0;574;c;TRUE
575;AGUA_CAC;$CHAR1.;/*	Abastecimento de Água / Cacimba/ Cisterna/ Poço	*/;1;0;575;c;TRUE
576;AGUA_FON;$CHAR1.;/*	Abastecimento de Água / Fonte/Rio/Igarapé/Córrego	*/;1;0;576;c;TRUE
577;AGUA_INE;$CHAR1.;/*	Abastecimento de Água / Inexistente	*/;1;0;577;c;TRUE
578;ESG_PUB;$CHAR1.;/*	Esgoto Sanitário / Rede Pública	*/;1;0;578;c;TRUE
579;ESG_FOSS;$CHAR1.;/*	Esgoto Sanitário / Fossa	*/;1;0;579;c;TRUE
580;ESG_INEX;$CHAR1.;/*	Esgoto Sanitário / Inexistente	*/;1;0;580;c;TRUE
581;LIV_SER1;$CHAR1.;/*	Séries que receberam Livro Didático para o ano do Censo Escolar - 1ª Série	*/;1;0;581;c;TRUE
582;LIV_SER2;$CHAR1.;/*	Séries que receberam Livro Didático para o ano do Censo Escolar - 2ª Série	*/;1;0;582;c;TRUE
583;LIV_SER3;$CHAR1.;/*	Séries que receberam Livro Didático para o ano do Censo Escolar - 3ª Série	*/;1;0;583;c;TRUE
584;LIV_SER4;$CHAR1.;/*	Séries que receberam Livro Didático para o ano do Censo Escolar - 4ª Série	*/;1;0;584;c;TRUE
585;LIV_SER5;$CHAR1.;/*	Séries que receberam Livro Didático para o ano do Censo Escolar - 5ª Série	*/;1;0;585;c;TRUE
586;LIV_SER6;$CHAR1.;/*	Séries que receberam Livro Didático para o ano do Censo Escolar - 6ª Série	*/;1;0;586;c;TRUE
587;LIV_SER7;$CHAR1.;/*	Séries que receberam Livro Didático para o ano do Censo Escolar - 7ª Série	*/;1;0;587;c;TRUE
588;LIV_SER8;$CHAR1.;/*	Séries que receberam Livro Didático para o ano do Censo Escolar - 8ª Série	*/;1;0;588;c;TRUE
589;LIV_REUT;$CHAR1.;/*	Os Livros Didáticos estão sendo reutilizados na Escola no ano do Censo Escolar ?	*/;1;0;589;c;TRUE
590;MERE_ESC;$CHAR1.;/*	A Escola Oferece Alimentação Escolar aos Alunos	*/;1;0;590;c;TRUE
591;CONS_ALI;$CHAR1.;/*	O Conselho de Alimentação Escolar visita a Escola	*/;1;0;591;c;TRUE
592;REND_MIN;$CHAR1.;/*	A Escola participa - Programa Renda Mínima	*/;1;0;592;c;TRUE
593;FNDE;$CHAR1.;/*	A Escola participa - Programa de Manutenção e Desenvolvimento da Educação/Dinheiro na Escola/MEC	*/;1;0;593;c;TRUE
594;TRAN_ESC;$CHAR1.;/*	A Escola participa - Programa Nacional de Transporte Escolar / MEC	*/;1;0;594;c;TRUE
595;PROGBIBL;$CHAR1.;/*	A Escola participa - Programa Nacional de Biblioteca na Escola / MEC	*/;1;0;595;c;TRUE
596;TV_ESC;$CHAR1.;/*	A Escola participa - Programa Nacional TV Escola / MEC	*/;1;0;596;c;TRUE
597;PROG_TVE;$CHAR1.;/*	A Escola participa - Outros Programas de TV Educativa	*/;1;0;597;c;TRUE
598;PROINFO;$CHAR1.;/*	A Escola participa - Programa PROINFO/MEC	*/;1;0;598;c;TRUE
599;INFOUTR;$CHAR1.;/*	A Escola participa - Outros programas de informática educativa	*/;1;0;599;c;TRUE
600;OUTR_EST;$CHAR1.;/*	A Escola participa - Outros Programas Estaduais	*/;1;0;600;c;TRUE
601;OUTR_MUN;$CHAR1.;/*	A Escola participa - Outros Programas Municipais	*/;1;0;601;c;TRUE
602;DIRETOR;$CHAR1.;/*	Existência de diretor na escola	*/;1;0;602;c;TRUE
603;DIRFUN_IN;$CHAR1.;/*	Escolaridade do Diretor - Fundamental incompleto	*/;1;0;603;c;TRUE
604;DIRFUN_COM;$CHAR1.;/*	Escolaridade do Diretor - Fundamental completo	*/;1;0;604;c;TRUE
605;DIRMED_SEM;$CHAR1.;/*	Escolaridade do Diretor - Médio sem magistério	*/;1;0;605;c;TRUE
606;DIRMED_COM;$CHAR1.;/*	Escolaridade do Diretor - Médio com magistério	*/;1;0;606;c;TRUE
607;DIRSUP_SEM;$CHAR1.;/*	Escolaridade do Diretor - Superior sem licenciatura	*/;1;0;607;c;TRUE
608;DIRSUP_COM;$CHAR1.;/*	Escolaridade do Diretor - Superior com licenciatura	*/;1;0;608;c;TRUE
609;DIR_POS;$CHAR1.;/*	Escolaridade do Diretor - Pós-Graduação	*/;1;0;609;c;TRUE
610;DIR_CONC;$CHAR1.;/*	Forma de escolha do diretor da escola - Concurso	*/;1;0;610;c;TRUE
611;DIR_INDIC;$CHAR1.;/*	Forma de escolha do diretor da escola - Indicação	*/;1;0;611;c;TRUE
612;DIR_ELEI;$CHAR1.;/*	Forma de escolha do diretor da escola - Eleição	*/;1;0;612;c;TRUE
613;DIR_OUTRFOR;$CHAR1.;/*	Forma de escolha do diretor da escola - Outra forma de escolha	*/;1;0;613;c;TRUE
614;GREMIO;$CHAR1.;/*	Órgãos colegiados em funcionamento na escola - Grêmio estudantil	*/;1;0;614;c;TRUE
615;ASS_PAIS;$CHAR1.;/*	Órgãos colegiados em funcionamento na escola - Associação de pais	*/;1;0;615;c;TRUE
616;CON_ESC;$CHAR1.;/*	Órgãos colegiados em funcionamento na escola - Conselho Escolar	*/;1;0;616;c;TRUE
617;ASS_PROF;$CHAR1.;/*	Órgãos colegiados em funcionamento na escola - Associação de professores	*/;1;0;617;c;TRUE
618;ASS_PAISME;$CHAR1.;/*	Órgãos colegiados em funcionamento na escola - Associação de pais e mestres	*/;1;0;618;c;TRUE
619;VTS11;$CHAR1.;/*	Temas sociais abordados na escola – Projetos sobre Direitos Humanos (infância, adolescência, juventude e senilidade)	*/;1;0;619;c;TRUE
620;VTS21;$CHAR1.;/*	Temas sociais abordados na escola – Projetos sobre Educação para o trânsito	*/;1;0;620;c;TRUE
621;VTS31;$CHAR1.;/*	Temas sociais abordados na escola – Projetos sobre ética e cidadania	*/;1;0;621;c;TRUE
622;VTS41;$CHAR1.;/*	Temas sociais abordados na escola – Projetos sobre gênero	*/;1;0;622;c;TRUE
623;VTS51;$CHAR1.;/*	Temas sociais abordados na escola – Projetos sobre meio ambiente	*/;1;0;623;c;TRUE
624;VTS61;$CHAR1.;/*	Temas sociais abordados na escola – Projetos sobre promoção da saúde	*/;1;0;624;c;TRUE
625;VTS71;$CHAR1.;/*	Temas sociais abordados na escola – Projetos sobre racismo	*/;1;0;625;c;TRUE
626;VTS81;$CHAR1.;/*	Temas sociais abordados na escola – Projetos sobre sexualidade	*/;1;0;626;c;TRUE
627;VTS91;$CHAR1.;/*	Temas sociais abordados na escola – Projetos sobre trabalho infantil/direito de ser criança	*/;1;0;627;c;TRUE
